timestamp,value
2018-05-27 16:23:00.482,135.080
2018-05-27 16:23:00.668,137.920
2018-05-27 16:23:00.752,138.640
2018-05-27 16:23:00.845,139.260
2018-05-27 16:23:01.007,140.910
2018-05-27 16:23:01.100,142.830
2018-05-27 16:23:01.286,144.770
2018-05-27 16:23:01.370,145.560
2018-05-27 16:23:01.463,146.170
2018-05-27 16:23:01.557,147.040
2018-05-27 16:23:01.640,148.030
2018-05-27 16:23:01.822,149.850
2018-05-27 16:23:01.910,150.650
2018-05-27 16:23:02.156,152.730
2018-05-27 16:23:02.249,154.420
2018-05-27 16:23:02.333,155.250
2018-05-27 16:23:02.426,155.610
2018-05-27 16:23:02.519,156.520
2018-05-27 16:23:02.612,157.580
2018-05-27 16:23:02.706,158.320
2018-05-27 16:23:02.886,159.910
2018-05-27 16:23:03.035,160.890
2018-05-27 16:23:03.128,161.530
2018-05-27 16:23:03.221,162.790
2018-05-27 16:23:03.314,163.200
2018-05-27 16:23:03.398,163.460
2018-05-27 16:23:03.482,164.960
2018-05-27 16:23:03.584,165.910
2018-05-27 16:23:03.678,166.440
2018-05-27 16:23:03.771,167.870
2018-05-27 16:23:03.864,168.060
2018-05-27 16:23:04.026,169.110
2018-05-27 16:23:04.119,170.030
2018-05-27 16:23:04.203,170.470
2018-05-27 16:23:04.286,171.270
2018-05-27 16:23:04.380,172.220
2018-05-27 16:23:04.566,173.870
2018-05-27 16:23:04.659,174.790
2018-05-27 16:23:04.752,175.700
2018-05-27 16:23:05.007,177.630
2018-05-27 16:23:05.194,178.560
2018-05-27 16:23:05.277,179.410
2018-05-27 16:23:05.370,180.990
2018-05-27 16:23:05.557,182.020
2018-05-27 16:23:05.650,182.590
2018-05-27 16:23:05.743,183.040
2018-05-27 16:23:05.836,183.220
2018-05-27 16:23:05.929,183.900
2018-05-27 16:23:06.091,184.230
2018-05-27 16:23:06.185,185.490
2018-05-27 16:23:06.268,185.210
2018-05-27 16:23:06.361,186.300
2018-05-27 16:23:06.454,186.910
2018-05-27 16:23:06.547,187.340
2018-05-27 16:23:06.640,187.690
2018-05-27 16:23:06.734,188.330
2018-05-27 16:23:06.822,189.030
2018-05-27 16:23:06.911,189.540
2018-05-27 16:23:07.156,190.310
2018-05-27 16:23:07.249,190.340
2018-05-27 16:23:07.342,191.500
2018-05-27 16:23:07.426,192.000
2018-05-27 16:23:07.613,191.950
2018-05-27 16:23:07.706,192.690
2018-05-27 16:23:07.799,193.180
2018-05-27 16:23:07.893,193.530
2018-05-27 16:23:08.044,194.530
2018-05-27 16:23:08.138,194.480
2018-05-27 16:23:08.231,195.850
2018-05-27 16:23:08.315,195.310
2018-05-27 16:23:08.408,196.510
2018-05-27 16:23:08.501,196.460
2018-05-27 16:23:08.594,197.140
