timestamp,value
2018-05-27 16:23:00.556,144.760
2018-05-27 16:23:00.649,144.890
2018-05-27 16:23:00.742,145.080
2018-05-27 16:23:00.835,145.160
2018-05-27 16:23:00.929,145.360
2018-05-27 16:23:01.081,146.870
2018-05-27 16:23:01.165,147.500
2018-05-27 16:23:01.258,148.270
2018-05-27 16:23:01.444,149.690
2018-05-27 16:23:01.538,151.420
2018-05-27 16:23:01.631,152.270
2018-05-27 16:23:01.724,153.520
2018-05-27 16:23:01.817,154.400
2018-05-27 16:23:01.910,155.030
2018-05-27 16:23:02.072,156.550
2018-05-27 16:23:02.165,157.390
2018-05-27 16:23:02.258,157.340
2018-05-27 16:23:02.351,160.000
2018-05-27 16:23:02.444,159.990
2018-05-27 16:23:02.537,160.890
2018-05-27 16:23:02.621,161.790
2018-05-27 16:23:02.721,161.930
2018-05-27 16:23:02.807,164.220
2018-05-27 16:23:02.919,165.060
2018-05-27 16:23:03.258,167.720
2018-05-27 16:23:03.351,168.350
2018-05-27 16:23:03.444,170.360
2018-05-27 16:23:03.537,169.660
2018-05-27 16:23:03.631,171.100
2018-05-27 16:23:03.715,171.010
2018-05-27 16:23:03.901,173.310
2018-05-27 16:23:04.053,173.730
2018-05-27 16:23:04.239,176.300
2018-05-27 16:23:04.333,176.630
2018-05-27 16:23:04.426,176.350
2018-05-27 16:23:04.519,177.610
2018-05-27 16:23:04.780,180.290
2018-05-27 16:23:05.025,181.090
2018-05-27 16:23:05.119,181.410
2018-05-27 16:23:05.212,182.060
2018-05-27 16:23:05.389,184.060
2018-05-27 16:23:05.482,186.080
2018-05-27 16:23:05.575,185.610
2018-05-27 16:23:05.761,187.560
2018-05-27 16:23:05.854,188.490
2018-05-27 16:23:06.007,188.060
2018-05-27 16:23:06.193,191.760
2018-05-27 16:23:06.278,191.090
2018-05-27 16:23:06.370,192.000
2018-05-27 16:23:06.650,194.650
2018-05-27 16:23:06.744,194.160
2018-05-27 16:23:06.827,195.870
2018-05-27 16:23:06.919,195.240
2018-05-27 16:23:07.165,196.970
2018-05-27 16:23:07.351,198.720
2018-05-27 16:23:07.445,198.720
2018-05-27 16:23:07.528,199.920
2018-05-27 16:23:07.621,199.550
2018-05-27 16:23:07.715,200.490
2018-05-27 16:23:07.808,201.410
2018-05-27 16:23:07.892,201.910
2018-05-27 16:23:08.142,201.950
2018-05-27 16:23:08.230,203.000
2018-05-27 16:23:08.314,203.650
2018-05-27 16:23:08.500,204.620
2018-05-27 16:23:08.594,205.440
2018-05-27 16:23:08.687,205.010
2018-05-27 16:23:08.770,205.270
2018-05-27 16:23:09.025,206.720
2018-05-27 16:23:09.109,206.860
2018-05-27 16:23:09.202,209.580
2018-05-27 16:23:09.296,207.810
2018-05-27 16:23:09.482,208.780
2018-05-27 16:23:09.575,209.410
2018-05-27 16:23:09.659,210.410
2018-05-27 16:23:09.845,209.740
2018-05-27 16:23:10.007,209.320
2018-05-27 16:23:10.100,207.990
